audience_region,utc_offset,timezone_population,regional_population,regional_viewership
Africa & Middle East,-1,0.6,1650.8,945
Africa & Middle East,0,174.6,1650.8,945
Africa & Middle East,1,467.2,1650.8,945
Africa & Middle East,2,466.2,1650.8,945
Africa & Middle East,3,526.1,1650.8,945
Africa & Middle East,4,16.1,1650.8,945
Asia & Oceania,3.5,89,4496.5,2591
Asia & Oceania,4,17,4496.5,2591
Asia & Oceania,4.5,42,4496.5,2591
Asia & Oceania,5,292,4496.5,2591
Asia & Oceania,5.5,1472,4496.5,2591
Asia & Oceania,5.75,31,4496.5,2591
Asia & Oceania,6,182.8,4496.5,2591
Asia & Oceania,6.5,55,4496.5,2591
Asia & Oceania,7,422,4496.5,2591
Asia & Oceania,8,1643,4496.5,2591
Asia & Oceania,9,210.4,4496.5,2591
Asia & Oceania,9.5,2.1,4496.5,2591
Asia & Oceania,10,30.5,4496.5,2591
Asia & Oceania,11,1.3,4496.5,2591
Asia & Oceania,12,6.1,4496.5,2591
Asia & Oceania,13,0.3,4496.5,2591
Europe,0,0.4,880.5,522
Europe,1,83.6,880.5,522
Europe,2,414.1,880.5,522
Europe,3,298.4,880.5,522
Europe,4,15,880.5,522
Europe,5,25,880.5,522
Europe,6,22,880.5,522
Europe,7,8,880.5,522
Europe,8,5,880.5,522
Europe,9,3,880.5,522
Europe,10,4,880.5,522
Europe,11,1.5,880.5,522
Europe,12,0.5,880.5,522
North Central America & Caribbean,-10,1.5,596.1,369
North Central America & Caribbean,-8,0.7,596.1,369
North Central America & Caribbean,-7,72.3,596.1,369
North Central America & Caribbean,-6,195.1,596.1,369
North Central America & Caribbean,-5,106.8,596.1,369
North Central America & Caribbean,-4,216.6,596.1,369
North Central America & Caribbean,-3,2.7,596.1,369
North Central America & Caribbean,-2.5,0.5,596.1,369
South America,-5,104.9,435.6,365
South America,-4,86.3,435.6,365
South America,-3,244.4,435.6,365
