match_id,matchday,group,team_1,team_2,date,local_time,utc_offset_hours,kickoff_local,kickoff_utc,location
1,Matchday 1,A,Mexico,South Africa,2026-06-11,13:00,-6,2026-06-11 13:00,2026-06-11 19:00,Mexico City
2,Matchday 1,A,South Korea,Czech Republic,2026-06-11,20:00,-6,2026-06-11 20:00,2026-06-12 02:00,Guadalajara (Zapopan)
3,Matchday 2,B,Canada,Bosnia & Herzegovina,2026-06-12,15:00,-4,2026-06-12 15:00,2026-06-12 19:00,Toronto
4,Matchday 2,D,USA,Paraguay,2026-06-12,18:00,-7,2026-06-12 18:00,2026-06-13 01:00,Los Angeles (Inglewood)
5,Matchday 3,B,Qatar,Switzerland,2026-06-13,12:00,-7,2026-06-13 12:00,2026-06-13 19:00,San Francisco Bay Area (Santa Clara)
6,Matchday 3,C,Brazil,Morocco,2026-06-13,18:00,-4,2026-06-13 18:00,2026-06-13 22:00,New York/New Jersey (East Rutherford)
7,Matchday 3,C,Haiti,Scotland,2026-06-13,21:00,-4,2026-06-13 21:00,2026-06-14 01:00,Boston (Foxborough)
8,Matchday 3,D,Australia,Turkey,2026-06-13,21:00,-7,2026-06-13 21:00,2026-06-14 04:00,Vancouver
9,Matchday 4,E,Germany,Curaçao,2026-06-14,12:00,-5,2026-06-14 12:00,2026-06-14 17:00,Houston
10,Matchday 4,F,Netherlands,Japan,2026-06-14,15:00,-5,2026-06-14 15:00,2026-06-14 20:00,Dallas (Arlington)
11,Matchday 4,E,Ivory Coast,Ecuador,2026-06-14,19:00,-4,2026-06-14 19:00,2026-06-14 23:00,Philadelphia
12,Matchday 4,F,Sweden,Tunisia,2026-06-14,20:00,-6,2026-06-14 20:00,2026-06-15 02:00,Monterrey (Guadalupe)
13,Matchday 5,H,Spain,Cape Verde,2026-06-15,12:00,-4,2026-06-15 12:00,2026-06-15 16:00,Atlanta
14,Matchday 5,G,Belgium,Egypt,2026-06-15,12:00,-7,2026-06-15 12:00,2026-06-15 19:00,Seattle
15,Matchday 5,H,Saudi Arabia,Uruguay,2026-06-15,18:00,-4,2026-06-15 18:00,2026-06-15 22:00,Miami (Miami Gardens)
16,Matchday 5,G,Iran,New Zealand,2026-06-15,18:00,-7,2026-06-15 18:00,2026-06-16 01:00,Los Angeles (Inglewood)
17,Matchday 6,I,France,Senegal,2026-06-16,15:00,-4,2026-06-16 15:00,2026-06-16 19:00,New York/New Jersey (East Rutherford)
18,Matchday 6,I,Iraq,Norway,2026-06-16,18:00,-4,2026-06-16 18:00,2026-06-16 22:00,Boston (Foxborough)
19,Matchday 6,J,Argentina,Algeria,2026-06-16,20:00,-5,2026-06-16 20:00,2026-06-17 01:00,Kansas City
20,Matchday 6,J,Austria,Jordan,2026-06-16,21:00,-7,2026-06-16 21:00,2026-06-17 04:00,San Francisco Bay Area (Santa Clara)
21,Matchday 7,K,Portugal,DR Congo,2026-06-17,12:00,-5,2026-06-17 12:00,2026-06-17 17:00,Houston
22,Matchday 7,L,England,Croatia,2026-06-17,15:00,-5,2026-06-17 15:00,2026-06-17 20:00,Dallas (Arlington)
23,Matchday 7,L,Ghana,Panama,2026-06-17,19:00,-4,2026-06-17 19:00,2026-06-17 23:00,Toronto
24,Matchday 7,K,Uzbekistan,Colombia,2026-06-17,20:00,-6,2026-06-17 20:00,2026-06-18 02:00,Mexico City
25,Matchday 8,A,Czech Republic,South Africa,2026-06-18,12:00,-4,2026-06-18 12:00,2026-06-18 16:00,Atlanta
26,Matchday 8,B,Switzerland,Bosnia & Herzegovina,2026-06-18,12:00,-7,2026-06-18 12:00,2026-06-18 19:00,Los Angeles (Inglewood)
27,Matchday 8,B,Canada,Qatar,2026-06-18,15:00,-7,2026-06-18 15:00,2026-06-18 22:00,Vancouver
28,Matchday 8,A,Mexico,South Korea,2026-06-18,19:00,-6,2026-06-18 19:00,2026-06-19 01:00,Guadalajara (Zapopan)
29,Matchday 9,D,USA,Australia,2026-06-19,12:00,-7,2026-06-19 12:00,2026-06-19 19:00,Seattle
30,Matchday 9,C,Scotland,Morocco,2026-06-19,18:00,-4,2026-06-19 18:00,2026-06-19 22:00,Boston (Foxborough)
31,Matchday 9,C,Brazil,Haiti,2026-06-19,20:30,-4,2026-06-19 20:30,2026-06-20 00:30,Philadelphia
32,Matchday 9,D,Turkey,Paraguay,2026-06-19,20:00,-7,2026-06-19 20:00,2026-06-20 03:00,San Francisco Bay Area (Santa Clara)
33,Matchday 10,F,Netherlands,Sweden,2026-06-20,12:00,-5,2026-06-20 12:00,2026-06-20 17:00,Houston
34,Matchday 10,E,Germany,Ivory Coast,2026-06-20,16:00,-4,2026-06-20 16:00,2026-06-20 20:00,Toronto
35,Matchday 10,E,Ecuador,Curaçao,2026-06-20,19:00,-5,2026-06-20 19:00,2026-06-21 00:00,Kansas City
36,Matchday 10,F,Tunisia,Japan,2026-06-20,22:00,-6,2026-06-20 22:00,2026-06-21 04:00,Monterrey (Guadalupe)
37,Matchday 11,H,Spain,Saudi Arabia,2026-06-21,12:00,-4,2026-06-21 12:00,2026-06-21 16:00,Atlanta
38,Matchday 11,G,Belgium,Iran,2026-06-21,12:00,-7,2026-06-21 12:00,2026-06-21 19:00,Los Angeles (Inglewood)
39,Matchday 11,H,Uruguay,Cape Verde,2026-06-21,18:00,-4,2026-06-21 18:00,2026-06-21 22:00,Miami (Miami Gardens)
40,Matchday 11,G,New Zealand,Egypt,2026-06-21,18:00,-7,2026-06-21 18:00,2026-06-22 01:00,Vancouver
41,Matchday 12,J,Argentina,Austria,2026-06-22,12:00,-5,2026-06-22 12:00,2026-06-22 17:00,Dallas (Arlington)
42,Matchday 12,I,France,Iraq,2026-06-22,17:00,-4,2026-06-22 17:00,2026-06-22 21:00,Philadelphia
43,Matchday 12,I,Norway,Senegal,2026-06-22,20:00,-4,2026-06-22 20:00,2026-06-23 00:00,New York/New Jersey (East Rutherford)
44,Matchday 12,J,Jordan,Algeria,2026-06-22,20:00,-7,2026-06-22 20:00,2026-06-23 03:00,San Francisco Bay Area (Santa Clara)
45,Matchday 13,K,Portugal,Uzbekistan,2026-06-23,12:00,-5,2026-06-23 12:00,2026-06-23 17:00,Houston
46,Matchday 13,L,England,Ghana,2026-06-23,16:00,-4,2026-06-23 16:00,2026-06-23 20:00,Boston (Foxborough)
47,Matchday 13,L,Panama,Croatia,2026-06-23,19:00,-4,2026-06-23 19:00,2026-06-23 23:00,Toronto
48,Matchday 13,K,Colombia,DR Congo,2026-06-23,20:00,-6,2026-06-23 20:00,2026-06-24 02:00,Guadalajara (Zapopan)
49,Matchday 14,B,Bosnia & Herzegovina,Qatar,2026-06-24,12:00,-7,2026-06-24 12:00,2026-06-24 19:00,Seattle
50,Matchday 14,B,Switzerland,Canada,2026-06-24,12:00,-7,2026-06-24 12:00,2026-06-24 19:00,Vancouver
51,Matchday 14,C,Morocco,Haiti,2026-06-24,18:00,-4,2026-06-24 18:00,2026-06-24 22:00,Atlanta
52,Matchday 14,C,Scotland,Brazil,2026-06-24,18:00,-4,2026-06-24 18:00,2026-06-24 22:00,Miami (Miami Gardens)
53,Matchday 14,A,Czech Republic,Mexico,2026-06-24,19:00,-6,2026-06-24 19:00,2026-06-25 01:00,Mexico City
54,Matchday 14,A,South Africa,South Korea,2026-06-24,19:00,-6,2026-06-24 19:00,2026-06-25 01:00,Monterrey (Guadalupe)
55,Matchday 15,E,Curaçao,Ivory Coast,2026-06-25,16:00,-4,2026-06-25 16:00,2026-06-25 20:00,Philadelphia
56,Matchday 15,E,Ecuador,Germany,2026-06-25,16:00,-4,2026-06-25 16:00,2026-06-25 20:00,New York/New Jersey (East Rutherford)
57,Matchday 15,F,Japan,Sweden,2026-06-25,18:00,-5,2026-06-25 18:00,2026-06-25 23:00,Dallas (Arlington)
58,Matchday 15,F,Tunisia,Netherlands,2026-06-25,18:00,-5,2026-06-25 18:00,2026-06-25 23:00,Kansas City
59,Matchday 15,D,Paraguay,Australia,2026-06-25,19:00,-7,2026-06-25 19:00,2026-06-26 02:00,San Francisco Bay Area (Santa Clara)
60,Matchday 15,D,Turkey,USA,2026-06-25,19:00,-7,2026-06-25 19:00,2026-06-26 02:00,Los Angeles (Inglewood)
61,Matchday 16,I,Norway,France,2026-06-26,15:00,-4,2026-06-26 15:00,2026-06-26 19:00,Boston (Foxborough)
62,Matchday 16,I,Senegal,Iraq,2026-06-26,15:00,-4,2026-06-26 15:00,2026-06-26 19:00,Toronto
63,Matchday 16,H,Cape Verde,Saudi Arabia,2026-06-26,19:00,-5,2026-06-26 19:00,2026-06-27 00:00,Houston
64,Matchday 16,H,Uruguay,Spain,2026-06-26,18:00,-6,2026-06-26 18:00,2026-06-27 00:00,Guadalajara (Zapopan)
65,Matchday 16,G,Egypt,Iran,2026-06-26,20:00,-7,2026-06-26 20:00,2026-06-27 03:00,Seattle
66,Matchday 16,G,New Zealand,Belgium,2026-06-26,20:00,-7,2026-06-26 20:00,2026-06-27 03:00,Vancouver
67,Matchday 17,L,Croatia,Ghana,2026-06-27,17:00,-4,2026-06-27 17:00,2026-06-27 21:00,Philadelphia
68,Matchday 17,L,Panama,England,2026-06-27,17:00,-4,2026-06-27 17:00,2026-06-27 21:00,New York/New Jersey (East Rutherford)
