team_id,venue_id,travel_mode,transportation_method,origin_longitude,origin_latitude,destination_longitude,destination_latitude,driving_distance_airport_to_basecamp_one_way_km,driving_time_airport_to_basecamp_one_way_hours,driving_distance_airport_to_venue_one_way_km,driving_time_airport_to_venue_one_way_hours,airport_to_airport_distance_kilometres,airport_to_airport_time_hours,total_distance_travelled_kilometres,total_time_travelled_hours
1,1,FLIGHT,car + plane,-97.0403,32.8998,-79.6248,43.6777,42.04,0.634,27.26,0.486,1928.763,2.838,1998.063,3.958
1,2,FLIGHT,car + plane,-97.0403,32.8998,-123.1792,49.1947,42.04,0.634,13.873,0.378,2818.702,3.917,2874.615,4.929
1,3,FLIGHT,car + plane,-97.0403,32.8998,-99.0721,19.4363,42.04,0.634,21.166,0.395,1510.636,2.331,1573.842,3.36
1,4,FLIGHT,car + plane,-97.0403,32.8998,-103.3112,20.5218,42.04,0.634,30.333,0.621,1509.849,2.33,1582.222,3.585
1,5,FLIGHT,car + plane,-97.0403,32.8998,-100.107,25.7785,42.04,0.634,23.088,0.421,845.678,1.525,910.806,2.58
1,6,FLIGHT,car + plane,-97.0403,32.8998,-84.4277,33.6407,42.04,0.634,16.931,0.363,1174.744,1.924,1233.715,2.921
1,7,FLIGHT,car + plane,-97.0403,32.8998,-71.4282,41.724,42.04,0.634,51.699,0.912,2456.391,3.477,2550.13,5.023
1,8,DRIVE,car,-97.074,32.563,-97.0945,32.7473,,,,,,,25.339,0.411
1,9,FLIGHT,car + plane,-97.0403,32.8998,-95.2789,29.6454,42.04,0.634,19.96,0.426,398.697,0.983,460.697,2.043
1,10,FLIGHT,car + plane,-97.0403,32.8998,-94.7139,39.2976,42.04,0.634,49.67,0.685,741.393,1.399,833.103,2.718
1,11,FLIGHT,car + plane,-97.0403,32.8998,-118.4081,33.9425,42.04,0.634,8.25,0.188,1982.921,2.904,2033.211,3.726
1,12,FLIGHT,car + plane,-97.0403,32.8998,-80.1527,26.0726,42.04,0.634,21.728,0.384,1799.245,2.681,1863.013,3.699
1,13,FLIGHT,car + plane,-97.0403,32.8998,-74.1745,40.6895,42.04,0.634,20.741,0.395,2204.253,3.172,2267.034,4.201
1,14,FLIGHT,car + plane,-97.0403,32.8998,-75.2424,39.8744,42.04,0.634,9.543,0.203,2092.877,3.037,2144.46,3.874
1,15,FLIGHT,car + plane,-97.0403,32.8998,-121.9289,37.3639,42.04,0.634,9.98,0.195,2309.908,3.3,2361.928,4.129
1,16,FLIGHT,car + plane,-97.0403,32.8998,-122.3088,47.4502,42.04,0.634,22.563,0.395,2667.819,3.734,2732.422,4.763
2,1,FLIGHT,car + plane,-99.0721,19.4363,-79.6248,43.6777,18.502,0.342,27.26,0.486,3247.013,4.436,3292.775,5.264
2,2,FLIGHT,car + plane,-99.0721,19.4363,-123.1792,49.1947,18.502,0.342,13.873,0.378,3944.534,5.281,3976.909,6.001
2,3,DRIVE,car,-99.1437,19.3558,-99.1504,19.3029,,,,,,,7.604,0.16
2,4,FLIGHT,car + plane,-99.0721,19.4363,-103.3112,20.5218,18.502,0.342,30.333,0.621,459.128,1.057,507.963,2.02
2,5,FLIGHT,car + plane,-99.0721,19.4363,-100.107,25.7785,18.502,0.342,23.088,0.421,713.166,1.364,754.756,2.127
2,6,FLIGHT,car + plane,-99.0721,19.4363,-84.4277,33.6407,18.502,0.342,16.931,0.363,2143.732,3.098,2179.165,3.803
2,7,FLIGHT,car + plane,-99.0721,19.4363,-71.4282,41.724,18.502,0.342,51.699,0.912,3595.338,4.858,3665.539,6.112
2,8,FLIGHT,car + plane,-99.0721,19.4363,-97.0403,32.8998,18.502,0.342,22.881,0.43,1510.636,2.331,1552.019,3.103
2,9,FLIGHT,car + plane,-99.0721,19.4363,-95.2789,29.6454,18.502,0.342,19.96,0.426,1198.02,1.952,1236.482,2.72
2,10,FLIGHT,car + plane,-99.0721,19.4363,-94.7139,39.2976,18.502,0.342,49.67,0.685,2247.715,3.225,2315.887,4.252
2,11,FLIGHT,car + plane,-99.0721,19.4363,-118.4081,33.9425,18.502,0.342,8.25,0.188,2500.013,3.53,2526.765,4.06
2,12,FLIGHT,car + plane,-99.0721,19.4363,-80.1527,26.0726,18.502,0.342,21.728,0.384,2072.817,3.013,2113.047,3.739
2,13,FLIGHT,car + plane,-99.0721,19.4363,-74.1745,40.6895,18.502,0.342,20.741,0.395,3342.124,4.551,3381.367,5.288
2,14,FLIGHT,car + plane,-99.0721,19.4363,-75.2424,39.8744,18.502,0.342,9.543,0.203,3215.002,4.397,3243.047,4.942
2,15,FLIGHT,car + plane,-99.0721,19.4363,-121.9289,37.3639,18.502,0.342,9.98,0.195,2979.911,4.112,3008.393,4.649
2,16,FLIGHT,car + plane,-99.0721,19.4363,-122.3088,47.4502,18.502,0.342,22.563,0.395,3757.004,5.054,3798.069,5.791
3,1,FLIGHT,car + plane,-99.0159,19.7581,-79.6248,43.6777,53.988,0.916,27.26,0.486,3213.011,4.395,3294.259,5.797
3,2,FLIGHT,car + plane,-99.0159,19.7581,-123.1792,49.1947,53.988,0.916,13.873,0.378,3915.517,5.246,3983.378,6.54
3,3,DRIVE,car,-98.7424,20.06,-99.1504,19.3029,,,,,,,109.298,1.626
3,4,FLIGHT,car + plane,-99.0159,19.7581,-103.3112,20.5218,53.988,0.916,30.333,0.621,456.365,1.053,540.686,2.59
3,5,FLIGHT,car + plane,-99.0159,19.7581,-100.107,25.7785,53.988,0.916,23.088,0.421,678.709,1.323,755.785,2.66
3,6,FLIGHT,car + plane,-99.0159,19.7581,-84.4277,33.6407,53.988,0.916,16.931,0.363,2112.489,3.061,2183.408,4.34
3,7,FLIGHT,car + plane,-99.0159,19.7581,-71.4282,41.724,53.988,0.916,51.699,0.912,3564.303,4.82,3669.99,6.648
3,8,FLIGHT,car + plane,-99.0159,19.7581,-97.0403,32.8998,53.988,0.916,22.881,0.43,1474.396,2.287,1551.265,3.633
3,9,FLIGHT,car + plane,-99.0159,19.7581,-95.2789,29.6454,53.988,0.916,19.96,0.426,1162.175,1.909,1236.123,3.251
3,10,FLIGHT,car + plane,-99.0159,19.7581,-94.7139,39.2976,53.988,0.916,49.67,0.685,2211.452,3.181,2315.11,4.782
3,11,FLIGHT,car + plane,-99.0159,19.7581,-118.4081,33.9425,53.988,0.916,8.25,0.188,2479.511,3.505,2541.749,4.609
3,12,FLIGHT,car + plane,-99.0159,19.7581,-80.1527,26.0726,53.988,0.916,21.728,0.384,2052.927,2.988,2128.643,4.288
3,13,FLIGHT,car + plane,-99.0159,19.7581,-74.1745,40.6895,53.988,0.916,20.741,0.395,3310.848,4.513,3385.577,5.824
3,14,FLIGHT,car + plane,-99.0159,19.7581,-75.2424,39.8744,53.988,0.916,9.543,0.203,3183.823,4.359,3247.354,5.478
3,15,FLIGHT,car + plane,-99.0159,19.7581,-121.9289,37.3639,53.988,0.916,9.98,0.195,2957.989,4.085,3021.957,5.196
3,16,FLIGHT,car + plane,-99.0159,19.7581,-122.3088,47.4502,53.988,0.916,22.563,0.395,3728.488,5.019,3805.039,6.33
4,1,FLIGHT,car + plane,-103.3112,20.5218,-79.6248,43.6777,29.045,0.534,27.26,0.486,3382.039,4.599,3438.344,5.619
4,2,FLIGHT,car + plane,-103.3112,20.5218,-123.1792,49.1947,29.045,0.534,13.873,0.378,3642.75,4.915,3685.668,5.827
4,3,FLIGHT,car + plane,-103.3112,20.5218,-99.0721,19.4363,29.045,0.534,21.166,0.395,459.128,1.057,509.339,1.986
4,4,DRIVE,car,-103.43,20.665,-103.4626,20.6818,,,,,,,9.215,0.199
4,5,FLIGHT,car + plane,-103.3112,20.5218,-100.107,25.7785,29.045,0.534,23.088,0.421,669.974,1.312,722.107,2.267
4,6,FLIGHT,car + plane,-103.3112,20.5218,-84.4277,33.6407,29.045,0.534,16.931,0.363,2364.143,3.366,2410.119,4.263
4,7,FLIGHT,car + plane,-103.3112,20.5218,-71.4282,41.724,29.045,0.534,51.699,0.912,3805.467,5.113,3886.211,6.559
4,8,FLIGHT,car + plane,-103.3112,20.5218,-97.0403,32.8998,29.045,0.534,22.881,0.43,1509.849,2.33,1561.775,3.294
4,9,FLIGHT,car + plane,-103.3112,20.5218,-95.2789,29.6454,29.045,0.534,19.96,0.426,1296.561,2.072,1345.566,3.032
4,10,FLIGHT,car + plane,-103.3112,20.5218,-94.7139,39.2976,29.045,0.534,49.67,0.685,2243.399,3.219,2322.114,4.438
4,11,FLIGHT,car + plane,-103.3112,20.5218,-118.4081,33.9425,29.045,0.534,8.25,0.188,2105.682,3.052,2142.977,3.774
4,12,FLIGHT,car + plane,-103.3112,20.5218,-80.1527,26.0726,29.045,0.534,21.728,0.384,2440.492,3.458,2491.265,4.376
4,13,FLIGHT,car + plane,-103.3112,20.5218,-74.1745,40.6895,29.045,0.534,20.741,0.395,3548.861,4.802,3598.647,5.731
4,14,FLIGHT,car + plane,-103.3112,20.5218,-75.2424,39.8744,29.045,0.534,9.543,0.203,3424.804,4.651,3463.392,5.388
4,15,FLIGHT,car + plane,-103.3112,20.5218,-121.9289,37.3639,29.045,0.534,9.98,0.195,2595.543,3.646,2634.568,4.375
4,16,FLIGHT,car + plane,-103.3112,20.5218,-122.3088,47.4502,29.045,0.534,22.563,0.395,3448.154,4.68,3499.762,5.609
5,1,FLIGHT,car + plane,-111.9791,40.7899,-79.6248,43.6777,32.092,0.484,27.26,0.486,2665.904,3.731,2725.256,4.701
5,2,FLIGHT,car + plane,-111.9791,40.7899,-123.1792,49.1947,32.092,0.484,13.873,0.378,1281.536,2.053,1327.501,2.915
5,3,FLIGHT,car + plane,-111.9791,40.7899,-99.0721,19.4363,32.092,0.484,21.166,0.395,2672.338,3.739,2725.596,4.618
5,4,FLIGHT,car + plane,-111.9791,40.7899,-103.3112,20.5218,32.092,0.484,30.333,0.621,2398.231,3.407,2460.656,4.512
5,5,FLIGHT,car + plane,-111.9791,40.7899,-100.107,25.7785,32.092,0.484,23.088,0.421,1996.674,2.92,2051.854,3.825
5,6,FLIGHT,car + plane,-111.9791,40.7899,-84.4277,33.6407,32.092,0.484,16.931,0.363,2553.563,3.595,2602.586,4.442
