country,sub_region,fifa_audience_region,utc_offset_june,population_millions,source
India,South Asia,Asia & Oceania,5.5,1450,[1] UN WPP 2024
Pakistan,South Asia,Asia & Oceania,5,240,[1] UN WPP 2024
Bangladesh,South Asia,Asia & Oceania,6,175,[1] UN WPP 2024
Nepal,South Asia,Asia & Oceania,5.75,31,[1] UN WPP 2024
Sri Lanka,South Asia,Asia & Oceania,5.5,22,[1] UN WPP 2024
Afghanistan,South Asia,Asia & Oceania,4.5,42,[1] UN WPP 2024
Maldives,South Asia,Asia & Oceania,5,0.5,[1] UN WPP 2024
Bhutan,South Asia,Asia & Oceania,6,0.8,[1] UN WPP 2024
China,East Asia,Asia & Oceania,8,1410,[1] UN WPP 2024
Japan,East Asia,Asia & Oceania,9,124,[1] UN WPP 2024
South Korea,East Asia,Asia & Oceania,9,52,[1] UN WPP 2024
North Korea,East Asia,Asia & Oceania,9,26,[1] UN WPP 2024
Mongolia,East Asia,Asia & Oceania,8,3.4,[1] UN WPP 2024
Taiwan,East Asia,Asia & Oceania,8,24,[1] UN WPP 2024
Hong Kong,East Asia,Asia & Oceania,8,7.5,[1] UN WPP 2024
Macau,East Asia,Asia & Oceania,8,0.7,[1] UN WPP 2024
Indonesia WIB (Java/Sumatra),Southeast Asia,Asia & Oceania,7,225,[5] BPS Indonesia
Indonesia WITA (Bali/Kalimantan/Sulawesi),Southeast Asia,Asia & Oceania,8,37,[5] BPS Indonesia
Indonesia WIT (Papua/Maluku),Southeast Asia,Asia & Oceania,9,7,[5] BPS Indonesia
Philippines,Southeast Asia,Asia & Oceania,8,117,[1] UN WPP 2024
Vietnam,Southeast Asia,Asia & Oceania,7,100,[1] UN WPP 2024
Thailand,Southeast Asia,Asia & Oceania,7,72,[1] UN WPP 2024
Myanmar,Southeast Asia,Asia & Oceania,6.5,55,[1] UN WPP 2024
Malaysia,Southeast Asia,Asia & Oceania,8,34,[1] UN WPP 2024
Cambodia,Southeast Asia,Asia & Oceania,7,17,[1] UN WPP 2024
Laos,Southeast Asia,Asia & Oceania,7,8,[1] UN WPP 2024
Singapore,Southeast Asia,Asia & Oceania,8,6,[1] UN WPP 2024
Timor-Leste,Southeast Asia,Asia & Oceania,9,1.4,[1] UN WPP 2024
Brunei,Southeast Asia,Asia & Oceania,8,0.5,[1] UN WPP 2024
Uzbekistan,Central Asia,Asia & Oceania,5,35,[1] UN WPP 2024
Tajikistan,Central Asia,Asia & Oceania,5,10,[1] UN WPP 2024
Kyrgyzstan,Central Asia,Asia & Oceania,6,7,[1] UN WPP 2024
Turkmenistan,Central Asia,Asia & Oceania,5,6.5,[1] UN WPP 2024
Georgia,Caucasus,Asia & Oceania,4,3.7,[1] UN WPP 2024
Armenia,Caucasus,Asia & Oceania,4,3,[1] UN WPP 2024
Azerbaijan,Caucasus,Asia & Oceania,4,10.3,[1] UN WPP 2024
Iran,West Asia,Asia & Oceania,3.5,89,[1] UN WPP 2024
Australia Eastern (NSW/VIC/QLD/TAS/ACT),Oceania,Asia & Oceania,10,20.5,[6] ABS Australia
Australia Central (SA/NT),Oceania,Asia & Oceania,9.5,2.1,[6] ABS Australia
Australia Western (WA),Oceania,Asia & Oceania,8,2.9,[6] ABS Australia
New Zealand,Oceania,Asia & Oceania,12,5.2,[1] UN WPP 2024
Papua New Guinea,Oceania,Asia & Oceania,10,10,[1] UN WPP 2024
Fiji,Oceania,Asia & Oceania,12,0.9,[1] UN WPP 2024
Solomon Islands,Oceania,Asia & Oceania,11,0.7,[1] UN WPP 2024
Vanuatu,Oceania,Asia & Oceania,11,0.3,[1] UN WPP 2024
New Caledonia,Oceania,Asia & Oceania,11,0.3,[1] UN WPP 2024
Samoa,Oceania,Asia & Oceania,13,0.2,[1] UN WPP 2024
Tonga,Oceania,Asia & Oceania,13,0.1,[1] UN WPP 2024
Saudi Arabia,Middle East,Africa & Middle East,3,37,[1] UN WPP 2024
Iraq,Middle East,Africa & Middle East,3,44,[1] UN WPP 2024
Yemen,Middle East,Africa & Middle East,3,34,[1] UN WPP 2024
Jordan,Middle East,Africa & Middle East,3,11.5,[1] UN WPP 2024
UAE,Middle East,Africa & Middle East,4,10,[1] UN WPP 2024
Kuwait,Middle East,Africa & Middle East,3,4.5,[1] UN WPP 2024
Oman,Middle East,Africa & Middle East,4,4.7,[1] UN WPP 2024
Qatar,Middle East,Africa & Middle East,3,2.7,[1] UN WPP 2024
Bahrain,Middle East,Africa & Middle East,3,1.6,[1] UN WPP 2024
Lebanon,Middle East,Africa & Middle East,3,5.5,[1] UN WPP 2024
Palestine,Middle East,Africa & Middle East,3,5.5,[1] UN WPP 2024
Syria,Middle East,Africa & Middle East,3,23,[1] UN WPP 2024
Egypt,North Africa,Africa & Middle East,2,106,[1] UN WPP 2024
Algeria,North Africa,Africa & Middle East,1,46,[1] UN WPP 2024
Morocco,North Africa,Africa & Middle East,1,38,[1] UN WPP 2024
Tunisia,North Africa,Africa & Middle East,1,12.5,[1] UN WPP 2024
Libya,North Africa,Africa & Middle East,2,7,[1] UN WPP 2024
Sudan,North Africa,Africa & Middle East,2,48,[1] UN WPP 2024
South Sudan,East Africa,Africa & Middle East,2,12,[1] UN WPP 2024
Nigeria,West Africa,Africa & Middle East,1,230,[1] UN WPP 2024
Ghana,West Africa,Africa & Middle East,0,34,[1] UN WPP 2024
Ivory Coast,West Africa,Africa & Middle East,0,29,[1] UN WPP 2024
Niger,West Africa,Africa & Middle East,1,27,[1] UN WPP 2024
Mali,West Africa,Africa & Middle East,0,23,[1] UN WPP 2024
Burkina Faso,West Africa,Africa & Middle East,0,23,[1] UN WPP 2024
Senegal,West Africa,Africa & Middle East,0,18,[1] UN WPP 2024
Guinea,West Africa,Africa & Middle East,0,14.5,[1] UN WPP 2024
Benin,West Africa,Africa & Middle East,1,13.5,[1] UN WPP 2024
Togo,West Africa,Africa & Middle East,0,9,[1] UN WPP 2024
Sierra Leone,West Africa,Africa & Middle East,0,8.5,[1] UN WPP 2024
Liberia,West Africa,Africa & Middle East,0,5.5,[1] UN WPP 2024
Mauritania,West Africa,Africa & Middle East,0,5,[1] UN WPP 2024
Gambia,West Africa,Africa & Middle East,0,2.7,[1] UN WPP 2024
Guinea-Bissau,West Africa,Africa & Middle East,0,2.2,[1] UN WPP 2024
Cabo Verde,West Africa,Africa & Middle East,-1,0.6,[1] UN WPP 2024
DRC,Central Africa,Africa & Middle East,2,105,[1] UN WPP 2024
Cameroon,Central Africa,Africa & Middle East,1,29,[1] UN WPP 2024
Angola,Central Africa,Africa & Middle East,1,37,[1] UN WPP 2024
Chad,Central Africa,Africa & Middle East,1,18.5,[1] UN WPP 2024
Central African Republic,Central Africa,Africa & Middle East,1,5.5,[1] UN WPP 2024
Republic of Congo,Central Africa,Africa & Middle East,1,6,[1] UN WPP 2024
Gabon,Central Africa,Africa & Middle East,1,2.5,[1] UN WPP 2024
Equatorial Guinea,Central Africa,Africa & Middle East,1,1.7,[1] UN WPP 2024
Sao Tome and Principe,Central Africa,Africa & Middle East,0,0.2,[1] UN WPP 2024
Ethiopia,East Africa,Africa & Middle East,3,130,[1] UN WPP 2024
Kenya,East Africa,Africa & Middle East,3,56,[1] UN WPP 2024
Tanzania,East Africa,Africa & Middle East,3,67,[1] UN WPP 2024
Uganda,East Africa,Africa & Middle East,3,50,[1] UN WPP 2024
Mozambique,East Africa,Africa & Middle East,2,34,[1] UN WPP 2024
Madagascar,East Africa,Africa & Middle East,3,30,[1] UN WPP 2024
Somalia,East Africa,Africa & Middle East,3,18,[1] UN WPP 2024
Rwanda,East Africa,Africa & Middle East,2,14,[1] UN WPP 2024
Burundi,East Africa,Africa & Middle East,2,13.5,[1] UN WPP 2024
Eritrea,East Africa,Africa & Middle East,3,3.7,[1] UN WPP 2024
Djibouti,East Africa,Africa & Middle East,3,1.1,[1] UN WPP 2024
Comoros,East Africa,Africa & Middle East,3,1,[1] UN WPP 2024
Mauritius,East Africa,Africa & Middle East,4,1.3,[1] UN WPP 2024
Seychelles,East Africa,Africa & Middle East,4,0.1,[1] UN WPP 2024
South Africa,Southern Africa,Africa & Middle East,2,60,[1] UN WPP 2024
Zimbabwe,Southern Africa,Africa & Middle East,2,16.5,[1] UN WPP 2024
Zambia,Southern Africa,Africa & Middle East,2,20.5,[1] UN WPP 2024
Malawi,Southern Africa,Africa & Middle East,2,21,[1] UN WPP 2024
Namibia,Southern Africa,Africa & Middle East,2,2.7,[1] UN WPP 2024
Botswana,Southern Africa,Africa & Middle East,2,2.5,[1] UN WPP 2024
Lesotho,Southern Africa,Africa & Middle East,2,2.3,[1] UN WPP 2024
Eswatini,Southern Africa,Africa & Middle East,2,1.2,[1] UN WPP 2024
United Kingdom,Western Europe,Europe,1,68,[1] UN WPP 2024
Ireland,Western Europe,Europe,1,5.2,[1] UN WPP 2024
Portugal,Western Europe,Europe,1,10.4,[1] UN WPP 2024
Iceland,Northern Europe,Europe,0,0.4,[1] UN WPP 2024
Germany,Western Europe,Europe,2,84,[1] UN WPP 2024
France,Western Europe,Europe,2,66,[1] UN WPP 2024
Italy,Southern Europe,Europe,2,59,[1] UN WPP 2024
Spain,Southern Europe,Europe,2,48,[1] UN WPP 2024
Poland,Eastern Europe,Europe,2,37,[1] UN WPP 2024
Netherlands,Western Europe,Europe,2,18,[1] UN WPP 2024
Belgium,Western Europe,Europe,2,11.7,[1] UN WPP 2024
Czech Republic,Eastern Europe,Europe,2,10.9,[1] UN WPP 2024
Sweden,Northern Europe,Europe,2,10.5,[1] UN WPP 2024
Hungary,Eastern Europe,Europe,2,10,[1] UN WPP 2024
