audience_region,utc_offset,timezone_population,regional_population,regional_viewership
Africa & Middle East,UTC-1,0.6,1650.8,945
Africa & Middle East,UTC+0,174.6,1650.8,945
Africa & Middle East,UTC+1,467.2,1650.8,945
Africa & Middle East,UTC+2,466.2,1650.8,945
Africa & Middle East,UTC+3,526.1,1650.8,945
Africa & Middle East,UTC+4,16.1,1650.8,945
Asia & Oceania,UTC+3:30,89.0,4496.5,2591
Asia & Oceania,UTC+4,17.0,4496.5,2591
Asia & Oceania,UTC+4:30,42.0,4496.5,2591
Asia & Oceania,UTC+5,292.0,4496.5,2591
Asia & Oceania,UTC+5:30,1472.0,4496.5,2591
Asia & Oceania,UTC+5:45,31.0,4496.5,2591
Asia & Oceania,UTC+6,182.8,4496.5,2591
Asia & Oceania,UTC+6:30,55.0,4496.5,2591
Asia & Oceania,UTC+7,422.0,4496.5,2591
Asia & Oceania,UTC+8,1643.0,4496.5,2591
Asia & Oceania,UTC+9,210.4,4496.5,2591
Asia & Oceania,UTC+9:30,2.1,4496.5,2591
Asia & Oceania,UTC+10,30.5,4496.5,2591
Asia & Oceania,UTC+11,1.3,4496.5,2591
Asia & Oceania,UTC+12,6.1,4496.5,2591
Asia & Oceania,UTC+13,0.3,4496.5,2591
Europe,UTC+0,0.4,880.5,522
Europe,UTC+1,83.6,880.5,522
Europe,UTC+2,414.1,880.5,522
Europe,UTC+3,298.4,880.5,522
Europe,UTC+4,15.0,880.5,522
Europe,UTC+5,25.0,880.5,522
Europe,UTC+6,22.0,880.5,522
Europe,UTC+7,8.0,880.5,522
Europe,UTC+8,5.0,880.5,522
Europe,UTC+9,3.0,880.5,522
Europe,UTC+10,4.0,880.5,522
Europe,UTC+11,1.5,880.5,522
Europe,UTC+12,0.5,880.5,522
"North, Central America & Caribbean",UTC-10,1.5,596.1,369
"North, Central America & Caribbean",UTC-8,0.7,596.1,369
"North, Central America & Caribbean",UTC-7,72.3,596.1,369
"North, Central America & Caribbean",UTC-6,195.1,596.1,369
"North, Central America & Caribbean",UTC-5,106.8,596.1,369
"North, Central America & Caribbean",UTC-4,216.6,596.1,369
"North, Central America & Caribbean",UTC-3,2.7,596.1,369
"North, Central America & Caribbean",UTC-2:30,0.5,596.1,369
South America,UTC-5,104.9,435.6,365
South America,UTC-4,86.3,435.6,365
South America,UTC-3,244.4,435.6,365
