venue_id,city,date,hour_local,base_temperature_c,humidity_pct,source_id
1,Toronto,2026-06-11,10,18.1,72.0,open-meteo-20yr-avg
1,Toronto,2026-06-11,11,18.8,70.4,open-meteo-20yr-avg
1,Toronto,2026-06-11,12,19.3,68.5,open-meteo-20yr-avg
1,Toronto,2026-06-11,13,19.9,66.5,open-meteo-20yr-avg
1,Toronto,2026-06-11,14,20.1,65.9,open-meteo-20yr-avg
1,Toronto,2026-06-11,15,20.3,66.0,open-meteo-20yr-avg
1,Toronto,2026-06-11,16,20.2,66.8,open-meteo-20yr-avg
1,Toronto,2026-06-11,17,20.0,68.0,open-meteo-20yr-avg
1,Toronto,2026-06-11,18,19.9,68.7,open-meteo-20yr-avg
1,Toronto,2026-06-11,19,19.6,70.0,open-meteo-20yr-avg
1,Toronto,2026-06-11,20,19.1,72.8,open-meteo-20yr-avg
1,Toronto,2026-06-11,21,18.1,75.7,open-meteo-20yr-avg
1,Toronto,2026-06-11,22,17.7,76.8,open-meteo-20yr-avg
1,Toronto,2026-06-12,10,17.9,77.3,open-meteo-20yr-avg
1,Toronto,2026-06-12,11,18.5,75.8,open-meteo-20yr-avg
1,Toronto,2026-06-12,12,19.1,73.9,open-meteo-20yr-avg
1,Toronto,2026-06-12,13,19.5,72.3,open-meteo-20yr-avg
1,Toronto,2026-06-12,14,19.9,70.1,open-meteo-20yr-avg
1,Toronto,2026-06-12,15,19.9,69.6,open-meteo-20yr-avg
1,Toronto,2026-06-12,16,19.9,69.6,open-meteo-20yr-avg
1,Toronto,2026-06-12,17,19.6,70.3,open-meteo-20yr-avg
1,Toronto,2026-06-12,18,19.5,70.3,open-meteo-20yr-avg
1,Toronto,2026-06-12,19,19.2,70.3,open-meteo-20yr-avg
1,Toronto,2026-06-12,20,18.5,72.0,open-meteo-20yr-avg
1,Toronto,2026-06-12,21,17.6,73.3,open-meteo-20yr-avg
1,Toronto,2026-06-12,22,17.2,74.3,open-meteo-20yr-avg
1,Toronto,2026-06-13,10,17.8,75.2,open-meteo-20yr-avg
1,Toronto,2026-06-13,11,18.6,72.8,open-meteo-20yr-avg
1,Toronto,2026-06-13,12,19.2,70.4,open-meteo-20yr-avg
1,Toronto,2026-06-13,13,19.7,68.5,open-meteo-20yr-avg
1,Toronto,2026-06-13,14,19.9,67.6,open-meteo-20yr-avg
1,Toronto,2026-06-13,15,19.9,66.6,open-meteo-20yr-avg
1,Toronto,2026-06-13,16,19.8,67.7,open-meteo-20yr-avg
1,Toronto,2026-06-13,17,19.7,67.8,open-meteo-20yr-avg
1,Toronto,2026-06-13,18,19.6,66.2,open-meteo-20yr-avg
1,Toronto,2026-06-13,19,19.4,67.0,open-meteo-20yr-avg
1,Toronto,2026-06-13,20,18.7,70.8,open-meteo-20yr-avg
1,Toronto,2026-06-13,21,18.0,73.5,open-meteo-20yr-avg
1,Toronto,2026-06-13,22,17.4,76.0,open-meteo-20yr-avg
1,Toronto,2026-06-14,10,17.5,69.6,open-meteo-20yr-avg
1,Toronto,2026-06-14,11,18.2,66.7,open-meteo-20yr-avg
1,Toronto,2026-06-14,12,18.7,65.1,open-meteo-20yr-avg
1,Toronto,2026-06-14,13,19.0,64.3,open-meteo-20yr-avg
1,Toronto,2026-06-14,14,19.4,62.8,open-meteo-20yr-avg
1,Toronto,2026-06-14,15,19.7,61.4,open-meteo-20yr-avg
1,Toronto,2026-06-14,16,19.7,60.1,open-meteo-20yr-avg
1,Toronto,2026-06-14,17,19.7,60.8,open-meteo-20yr-avg
1,Toronto,2026-06-14,18,19.5,60.6,open-meteo-20yr-avg
1,Toronto,2026-06-14,19,19.2,62.2,open-meteo-20yr-avg
1,Toronto,2026-06-14,20,18.6,66.2,open-meteo-20yr-avg
1,Toronto,2026-06-14,21,17.8,68.3,open-meteo-20yr-avg
1,Toronto,2026-06-14,22,17.2,69.8,open-meteo-20yr-avg
1,Toronto,2026-06-15,10,18.2,68.1,open-meteo-20yr-avg
1,Toronto,2026-06-15,11,18.6,66.4,open-meteo-20yr-avg
1,Toronto,2026-06-15,12,19.0,64.2,open-meteo-20yr-avg
