venue_id,city,year,date_mmdd,hour_local,temperature_c,humidity_pct
1,Toronto,2005,06-11,10,20.5,97
1,Toronto,2005,06-11,11,20.8,94
1,Toronto,2005,06-11,12,20.6,93
1,Toronto,2005,06-11,13,20.6,93
1,Toronto,2005,06-11,14,20.5,92
1,Toronto,2005,06-11,15,20.8,88
1,Toronto,2005,06-11,16,20.8,87
1,Toronto,2005,06-11,17,20.5,88
1,Toronto,2005,06-11,18,20.3,89
1,Toronto,2005,06-11,19,20.4,89
1,Toronto,2005,06-11,20,20.6,89
1,Toronto,2005,06-11,21,20.6,89
1,Toronto,2005,06-11,22,20.8,88
1,Toronto,2005,06-12,10,21.1,99
1,Toronto,2005,06-12,11,21.4,99
1,Toronto,2005,06-12,12,21.5,97
1,Toronto,2005,06-12,13,21.4,95
1,Toronto,2005,06-12,14,20.8,94
1,Toronto,2005,06-12,15,21.7,92
1,Toronto,2005,06-12,16,21.7,92
1,Toronto,2005,06-12,17,21.5,93
1,Toronto,2005,06-12,18,21.6,95
1,Toronto,2005,06-12,19,22.3,93
1,Toronto,2005,06-12,20,21.1,98
1,Toronto,2005,06-12,21,19.9,100
1,Toronto,2005,06-12,22,19.5,100
1,Toronto,2005,06-13,10,19.3,97
1,Toronto,2005,06-13,11,19.6,96
1,Toronto,2005,06-13,12,20.1,93
1,Toronto,2005,06-13,13,20.1,92
1,Toronto,2005,06-13,14,20.4,90
1,Toronto,2005,06-13,15,20.7,89
1,Toronto,2005,06-13,16,20.3,92
1,Toronto,2005,06-13,17,19.8,94
1,Toronto,2005,06-13,18,19.2,95
1,Toronto,2005,06-13,19,19.0,96
1,Toronto,2005,06-13,20,18.8,98
1,Toronto,2005,06-13,21,18.8,98
1,Toronto,2005,06-13,22,19.2,98
1,Toronto,2005,06-14,10,20.7,83
1,Toronto,2005,06-14,11,21.0,81
1,Toronto,2005,06-14,12,21.5,78
1,Toronto,2005,06-14,13,22.2,76
1,Toronto,2005,06-14,14,23.3,71
1,Toronto,2005,06-14,15,22.7,79
1,Toronto,2005,06-14,16,22.5,81
1,Toronto,2005,06-14,17,21.8,88
1,Toronto,2005,06-14,18,22.3,87
1,Toronto,2005,06-14,19,22.1,89
1,Toronto,2005,06-14,20,21.8,90
1,Toronto,2005,06-14,21,21.3,91
1,Toronto,2005,06-14,22,20.5,93
1,Toronto,2005,06-15,10,19.9,75
1,Toronto,2005,06-15,11,20.3,72
1,Toronto,2005,06-15,12,20.7,70
1,Toronto,2005,06-15,13,21.1,68
1,Toronto,2005,06-15,14,21.2,67
1,Toronto,2005,06-15,15,20.1,77
1,Toronto,2005,06-15,16,20.0,78
1,Toronto,2005,06-15,17,20.3,77
1,Toronto,2005,06-15,18,20.0,76
1,Toronto,2005,06-15,19,19.7,79
1,Toronto,2005,06-15,20,19.6,79
1,Toronto,2005,06-15,21,19.1,80
1,Toronto,2005,06-15,22,18.5,82
1,Toronto,2005,06-16,10,15.5,86
1,Toronto,2005,06-16,11,15.5,85
1,Toronto,2005,06-16,12,15.6,82
1,Toronto,2005,06-16,13,15.6,82
1,Toronto,2005,06-16,14,15.7,82
1,Toronto,2005,06-16,15,15.2,80
1,Toronto,2005,06-16,16,15.5,78
1,Toronto,2005,06-16,17,15.9,74
